path,username,direction,mood,sunglasses,direction_left,direction_right,direction_straight,direction_up,mood_angry,mood_happy,mood_neutral,mood_sad,sunglasses_on
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_left_happy_open.pgm,bpm,left,happy,open,1,0,0,0,0,1,0,0,0
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_straight_happy_sunglasses.pgm,bpm,straight,happy,sunglasses,0,0,1,0,0,1,0,0,1
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_left_sad_open.pgm,bpm,left,sad,open,1,0,0,0,0,0,0,1,0
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_right_neutral_sunglasses.pgm,bpm,right,neutral,sunglasses,0,1,0,0,0,0,1,0,1
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_straight_neutral_open.pgm,bpm,straight,neutral,open,0,0,1,0,0,0,1,0,0
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_straight_happy_open.pgm,bpm,straight,happy,open,0,0,1,0,0,1,0,0,0
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_right_angry_open.pgm,bpm,right,angry,open,0,1,0,0,1,0,0,0,0
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_right_happy_sunglasses.pgm,bpm,right,happy,sunglasses,0,1,0,0,0,1,0,0,1
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_left_angry_sunglasses.pgm,bpm,left,angry,sunglasses,1,0,0,0,1,0,0,0,1
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_left_neutral_open.pgm,bpm,left,neutral,open,1,0,0,0,0,0,1,0,0
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_right_neutral_open.pgm,bpm,right,neutral,open,0,1,0,0,0,0,1,0,0
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_right_angry_sunglasses.pgm,bpm,right,angry,sunglasses,0,1,0,0,1,0,0,0,1
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_up_happy_sunglasses.pgm,bpm,up,happy,sunglasses,0,0,0,1,0,1,0,0,1
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_up_happy_open.pgm,bpm,up,happy,open,0,0,0,1,0,1,0,0,0
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_straight_sad_open.pgm,bpm,straight,sad,open,0,0,1,0,0,0,0,1,0
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_up_neutral_open.pgm,bpm,up,neutral,open,0,0,0,1,0,0,1,0,0
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_straight_sad_sunglasses.pgm,bpm,straight,sad,sunglasses,0,0,1,0,0,0,0,1,1
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_up_angry_open.pgm,bpm,up,angry,open,0,0,0,1,1,0,0,0,0
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_straight_angry_open.pgm,bpm,straight,angry,open,0,0,1,0,1,0,0,0,0
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_left_angry_open.pgm,bpm,left,angry,open,1,0,0,0,1,0,0,0,0
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_straight_angry_sunglasses.pgm,bpm,straight,angry,sunglasses,0,0,1,0,1,0,0,0,1
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_left_sad_sunglasses.pgm,bpm,left,sad,sunglasses,1,0,0,0,0,0,0,1,1
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_up_angry_sunglasses.pgm,bpm,up,angry,sunglasses,0,0,0,1,1,0,0,0,1
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_right_sad_open.pgm,bpm,right,sad,open,0,1,0,0,0,0,0,1,0
/home/matt/Documents/MSEE/DTSA5509_Machine_Learning_I_Supervised_Learning/Final_Project/faces/bpm/bpm_right_happy_open.pgm,bpm,right,happy,open,0,1,0,0,0,1,0,0,0
